"fdc_id","food_code","wweia_category_code","start_date","end_date"
"781360","11710680","9402","2015-01-01","2016-12-31"
"781361","11710681","9402","2015-01-01","2016-12-31"
"781362","11710683","9404","2015-01-01","2016-12-31"
"781363","11710687","9404","2015-01-01","2016-12-31"
"781364","11710688","9404","2015-01-01","2016-12-31"
"781365","11710689","9404","2015-01-01","2016-12-31"
"781366","11710690","9402","2015-01-01","2016-12-31"
"781367","11710693","9404","2015-01-01","2016-12-31"
"781368","11710697","9404","2015-01-01","2016-12-31"
"781369","11710698","9404","2015-01-01","2016-12-31"
"781370","11710699","9404","2015-01-01","2016-12-31"
"781371","11710800","9402","2015-01-01","2016-12-31"
"781372","11710801","9402","2015-01-01","2016-12-31"
"781373","11710805","9402","2015-01-01","2016-12-31"
"781374","11710806","9402","2015-01-01","2016-12-31"
"781375","11710910","9402","2015-01-01","2016-12-31"
"781376","11710911","9402","2015-01-01","2016-12-31"
"781377","11710912","9406","2015-01-01","2016-12-31"
"781378","11710913","9404","2015-01-01","2016-12-31"
"781379","11710914","9406","2015-01-01","2016-12-31"
"781380","11710915","9406","2015-01-01","2016-12-31"
"781381","11710916","9406","2015-01-01","2016-12-31"
"781382","11710917","9404","2015-01-01","2016-12-31"
"781383","11710918","9404","2015-01-01","2016-12-31"
"781384","11710919","9404","2015-01-01","2016-12-31"
"781385","11710920","9402","2015-01-01","2016-12-31"
"781386","11710923","9404","2015-01-01","2016-12-31"
"781387","11710927","9404","2015-01-01","2016-12-31"
"781388","11710928","9404","2015-01-01","2016-12-31"
"781389","11710929","9404","2015-01-01","2016-12-31"
"781390","11710930","9402","2015-01-01","2016-12-31"
"781391","11710940","9402","2015-01-01","2016-12-31"
"781392","11710960","9402","2015-01-01","2016-12-31"
"781393","11710961","9406","2015-01-01","2016-12-31"
"781394","11710962","9404","2015-01-01","2016-12-31"
"781395","11710963","9402","2015-01-01","2016-12-31"
"781396","11710964","9406","2015-01-01","2016-12-31"
"781397","11710965","9406","2015-01-01","2016-12-31"
"781398","11710966","9406","2015-01-01","2016-12-31"
"781399","11710967","9404","2015-01-01","2016-12-31"
"781400","11710968","9404","2015-01-01","2016-12-31"
"781401","11710969","9404","2015-01-01","2016-12-31"
"781402","11720310","9402","2015-01-01","2016-12-31"
"781403","11720311","9402","2015-01-01","2016-12-31"
"781404","11720312","9406","2015-01-01","2016-12-31"
"781405","11720313","9404","2015-01-01","2016-12-31"
"781406","11720314","9406","2015-01-01","2016-12-31"
"781407","11720315","9406","2015-01-01","2016-12-31"
"781408","11720316","9406","2015-01-01","2016-12-31"
"781409","11720317","9404","2015-01-01","2016-12-31"
"781410","11720318","9404","2015-01-01","2016-12-31"
"781411","11720319","9404","2015-01-01","2016-12-31"
"781412","11720320","9402","2015-01-01","2016-12-31"
"781413","11720323","9404","2015-01-01","2016-12-31"
"781414","11720410","9402","2015-01-01","2016-12-31"
"781415","11720411","9402","2015-01-01","2016-12-31"
"781416","11720412","9406","2015-01-01","2016-12-31"
"781417","11720413","9404","2015-01-01","2016-12-31"
"781418","11720414","9406","2015-01-01","2016-12-31"
"781419","11720415","9406","2015-01-01","2016-12-31"
"781420","11720416","9406","2015-01-01","2016-12-31"
"781421","11720417","9404","2015-01-01","2016-12-31"
"781422","11720418","9404","2015-01-01","2016-12-31"
